threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
0.19	89	2	7	97	4	93	3	0	15.05	0.041237113402061855	0.5714285714285714	0.07692307692307693	6.179401993355482
0.19	97	3	6	155	5	150	1	0	23.066666666666666	0.03225806451612903	0.8333333333333334	0.062111801242236024	6.502890173410405
0.19	106	1	1	43	0	39	1	4	7.2	0.0	0.0	0.0	5.416666666666667
0.2	2	1	2	101	1	100	1	0	8.858333333333333	0.009900990099009901	0.5	0.019417475728155338	11.288805268109126
0.2	3	1	4	36	3	33	1	0	8.316666666666666	0.08333333333333333	0.75	0.15	3.967935871743487
0.2	4	1	1	69	1	68	0	0	8.258333333333333	0.014492753623188406	1.0	0.02857142857142857	8.234106962663976
0.2	5	1	0	51	0	49	0	2	7.733333333333333	0.0		0.0	6.336206896551724
0.2	15	2	5	81	5	76	0	0	16.616666666666667	0.06172839506172839	1.0	0.11627906976744186	4.573721163490471
0.2	17	1	3	123	0	123	3	0	8.966666666666667	0.0	0.0	0.0	13.717472118959108
0.2	37	1	0	84	0	83	0	1	7.991666666666666	0.0		0.0	10.385818561001043
0.2	40	1	0	97	0	96	0	1	7.133333333333334	0.0		0.0	13.457943925233645
0.2	44	1	0	89	0	89	0	0	8.558333333333334	0.0		0.0	10.399221032132424
0.2	48	1	0	44	0	42	0	2	7.341666666666667	0.0		0.0	5.720771850170261
0.2	55	1	0	68	0	68	0	0	7.416666666666667	0.0		0.0	9.168539325842696
0.2	64	1	5	72	4	68	1	0	8.983333333333333	0.05555555555555555	0.8	0.1038961038961039	7.569573283858999
0.2	73	1	3	79	3	76	0	0	7.866666666666666	0.0379746835443038	1.0	0.07317073170731707	9.661016949152543
0.2	89	2	7	94	5	89	2	0	15.05	0.05319148936170213	0.7142857142857143	0.09900990099009901	5.913621262458472
0.2	97	3	6	146	5	141	1	0	23.066666666666666	0.03424657534246575	0.8333333333333334	0.06578947368421052	6.11271676300578
0.2	106	1	1	41	0	37	1	4	7.2	0.0	0.0	0.0	5.138888888888888
0.21	2	1	2	100	1	99	1	0	8.858333333333333	0.01	0.5	0.0196078431372549	11.175917215428035
0.21	3	1	4	36	3	33	1	0	8.316666666666666	0.08333333333333333	0.75	0.15	3.967935871743487
0.21	4	1	1	68	1	67	0	0	8.258333333333333	0.014705882352941176	1.0	0.028985507246376812	8.113017154389507
0.21	5	1	0	50	0	48	0	2	7.733333333333333	0.0		0.0	6.206896551724138
0.21	15	2	5	82	5	77	0	0	16.616666666666667	0.06097560975609756	1.0	0.11494252873563218	4.6339017051153455
0.21	17	1	3	118	0	118	3	0	8.966666666666667	0.0	0.0	0.0	13.159851301115241
0.21	37	1	0	83	0	82	0	1	7.991666666666666	0.0		0.0	10.260688216892596
0.21	40	1	0	93	0	92	0	1	7.133333333333334	0.0		0.0	12.897196261682243
0.21	44	1	0	86	0	86	0	0	8.558333333333334	0.0		0.0	10.048685491723466
0.21	48	1	0	42	0	40	0	2	7.341666666666667	0.0		0.0	5.448354143019296
0.21	55	1	0	67	0	67	0	0	7.416666666666667	0.0		0.0	9.03370786516854
0.21	64	1	5	71	4	67	1	0	8.983333333333333	0.056338028169014086	0.8	0.10526315789473684	7.458256029684602
0.21	73	1	3	79	3	76	0	0	7.866666666666666	0.0379746835443038	1.0	0.07317073170731707	9.661016949152543
0.21	89	2	7	95	5	90	2	0	15.05	0.05263157894736842	0.7142857142857143	0.09803921568627451	5.980066445182724
0.21	97	3	6	140	5	135	1	0	23.066666666666666	0.03571428571428571	0.8333333333333334	0.0684931506849315	5.8526011560693645
0.21	106	1	1	40	0	36	1	4	7.2	0.0	0.0	0.0	5.0
0.22	2	1	2	96	1	95	1	0	8.858333333333333	0.010416666666666666	0.5	0.02040816326530612	10.72436500470367
0.22	3	1	4	37	3	34	1	0	8.316666666666666	0.08108108108108109	0.75	0.14634146341463414	4.088176352705411
0.22	4	1	1	66	1	65	0	0	8.258333333333333	0.015151515151515152	1.0	0.029850746268656716	7.870837537840566
0.22	5	1	0	50	0	48	0	2	7.733333333333333	0.0		0.0	6.206896551724138
0.22	15	2	5	78	5	73	0	0	16.616666666666667	0.0641025641025641	1.0	0.12048192771084337	4.393179538615847
0.22	17	1	3	113	0	113	3	0	8.966666666666667	0.0	0.0	0.0	12.602230483271375
0.22	37	1	0	83	0	82	0	1	7.991666666666666	0.0		0.0	10.260688216892596
0.22	40	1	0	88	0	87	0	1	7.133333333333334	0.0		0.0	12.19626168224299
0.22	44	1	0	83	0	83	0	0	8.558333333333334	0.0		0.0	9.698149951314509
0.22	48	1	0	41	0	39	0	2	7.341666666666667	0.0		0.0	5.312145289443814
0.22	55	1	0	62	0	62	0	0	7.416666666666667	0.0		0.0	8.359550561797752
0.22	64	1	5	70	4	66	1	0	8.983333333333333	0.05714285714285714	0.8	0.10666666666666667	7.346938775510205
