fusion	partition	subject	pid	cluster_index	event_time_sec	cluster_start_sec	cluster_stop_sec	cluster_span_sec	contributor_count	contributors	source_alarm_count	source_alarm_ids	retained
P6-H2-OR	validation	sub-2	89	7	19230.0	19230.0	19230.0	0.0	1	H2-D	1	H2-D:sub-2:19230.0	True
P6-H2-OR	validation	sub-2	89	8	19830.0	19830.0	19830.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:19830.0;P6-D:sub-2:19830.0	True
P6-H2-OR	validation	sub-2	89	9	21000.0	21000.0	21000.0	0.0	1	H2-D	1	H2-D:sub-2:21000.0	True
P6-H2-OR	validation	sub-2	89	10	21330.0	21330.0	21330.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:21330.0;P6-D:sub-2:21330.0	True
P6-H2-OR	validation	sub-2	89	11	21600.0	21600.0	21600.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:21600.0;P6-D:sub-2:21600.0	True
P6-H2-OR	validation	sub-2	89	12	21780.0	21780.0	21780.0	0.0	1	H2-D	1	H2-D:sub-2:21780.0	True
P6-H2-OR	validation	sub-2	89	13	22290.0	22290.0	22290.0	0.0	1	H2-D	1	H2-D:sub-2:22290.0	True
P6-H2-OR	validation	sub-2	89	14	22890.0	22890.0	22890.0	0.0	1	H2-D	1	H2-D:sub-2:22890.0	True
P6-H2-OR	validation	sub-2	89	15	25290.0	25290.0	25290.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:25290.0;P6-D:sub-2:25290.0	True
P6-H2-OR	validation	sub-2	89	16	25740.0	25740.0	25740.0	0.0	1	H2-D	1	H2-D:sub-2:25740.0	True
P6-H2-OR	validation	sub-2	89	17	26490.0	26490.0	26490.0	0.0	2	P6-D;H2-D	2	H2-D:sub-2:26490.0;P6-D:sub-2:26490.0	True
P6-H2-OR	validation	sub-2	89	18	26820.0	26820.0	26820.0	0.0	1	H2-D	1	H2-D:sub-2:26820.0	True
P6-H2-OR	validation	sub-23	15	0	330.0	330.0	330.0	0.0	1	P6-D	1	P6-D:sub-23:330.0	True
P6-H2-OR	validation	sub-23	15	1	1500.0	1500.0	1500.0	0.0	1	H2-D	1	H2-D:sub-23:1500.0	True
P6-H2-OR	validation	sub-23	15	2	2400.0	2400.0	2430.0	30.0	2	P6-D;H2-D	2	H2-D:sub-23:2400.0;P6-D:sub-23:2430.0	True
P6-H2-OR	validation	sub-23	15	3	3840.0	3840.0	3840.0	0.0	1	H2-D	1	H2-D:sub-23:3840.0	True
P6-H2-OR	validation	sub-23	15	4	18060.0	18060.0	18060.0	0.0	1	P6-D	1	P6-D:sub-23:18060.0	True
P6-H2-OR	validation	sub-23	15	5	20430.0	20430.0	20430.0	0.0	1	P6-D	1	P6-D:sub-23:20430.0	True
P6-H2-OR	validation	sub-23	15	6	22860.0	22860.0	22860.0	0.0	2	P6-D;H2-D	2	H2-D:sub-23:22860.0;P6-D:sub-23:22860.0	True
P6-H2-OR	validation	sub-23	15	7	24330.0	24330.0	24330.0	0.0	1	P6-D	1	P6-D:sub-23:24330.0	True
P6-H2-OR	validation	sub-23	15	8	25410.0	25410.0	25410.0	0.0	1	P6-D	1	P6-D:sub-23:25410.0	True
P6-H2-OR	validation	sub-23	15	9	26820.0	26820.0	26820.0	0.0	1	P6-D	1	P6-D:sub-23:26820.0	True
P6-H2-OR	validation	sub-23	15	10	27060.0	27060.0	27060.0	0.0	1	P6-D	1	P6-D:sub-23:27060.0	True
P6-H2-OR	validation	sub-23	15	11	28290.0	28290.0	28290.0	0.0	1	P6-D	1	P6-D:sub-23:28290.0	True
P6-H2-OR	validation	sub-23	15	12	30300.0	30300.0	30300.0	0.0	1	H2-D	1	H2-D:sub-23:30300.0	True
P6-H2-OR	validation	sub-23	15	13	30450.0	30450.0	30450.0	0.0	1	H2-D	1	H2-D:sub-23:30450.0	True
P6-H2-OR	validation	sub-23	15	14	31170.0	31170.0	31170.0	0.0	1	P6-D	1	P6-D:sub-23:31170.0	True
P6-H2-OR	validation	sub-25	17	0	330.0	330.0	330.0	0.0	1	P6-D	1	P6-D:sub-25:330.0	True
P6-H2-OR	validation	sub-25	17	1	1140.0	1140.0	1140.0	0.0	1	P6-D	1	P6-D:sub-25:1140.0	True
P6-H2-OR	validation	sub-25	17	2	2490.0	2490.0	2490.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:2490.0;P6-D:sub-25:2490.0	True
P6-H2-OR	validation	sub-25	17	3	4470.0	4470.0	4470.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:4470.0;P6-D:sub-25:4470.0	True
P6-H2-OR	validation	sub-25	17	4	4980.0	4980.0	4980.0	0.0	1	P6-D	1	P6-D:sub-25:4980.0	True
P6-H2-OR	validation	sub-25	17	5	6540.0	6540.0	6540.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:6540.0;P6-D:sub-25:6540.0	True
P6-H2-OR	validation	sub-25	17	6	7350.0	7350.0	7350.0	0.0	1	P6-D	1	P6-D:sub-25:7350.0	True
P6-H2-OR	validation	sub-25	17	7	14940.0	14940.0	14940.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:14940.0;P6-D:sub-25:14940.0	True
P6-H2-OR	validation	sub-25	17	8	15270.0	15270.0	15270.0	0.0	1	H2-D	1	H2-D:sub-25:15270.0	True
P6-H2-OR	validation	sub-25	17	9	15540.0	15540.0	15540.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:15540.0;P6-D:sub-25:15540.0	True
P6-H2-OR	validation	sub-25	17	10	16590.0	16590.0	16590.0	0.0	1	P6-D	1	P6-D:sub-25:16590.0	True
P6-H2-OR	validation	sub-25	17	11	16680.0	16680.0	16680.0	0.0	1	P6-D	1	P6-D:sub-25:16680.0	True
P6-H2-OR	validation	sub-25	17	12	17760.0	17760.0	17760.0	0.0	1	H2-D	1	H2-D:sub-25:17760.0	True
P6-H2-OR	validation	sub-25	17	13	18090.0	18090.0	18090.0	0.0	1	P6-D	1	P6-D:sub-25:18090.0	True
P6-H2-OR	validation	sub-25	17	14	18690.0	18690.0	18690.0	0.0	1	P6-D	1	P6-D:sub-25:18690.0	True
P6-H2-OR	validation	sub-25	17	15	19320.0	19320.0	19320.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:19320.0;P6-D:sub-25:19320.0	True
P6-H2-OR	validation	sub-25	17	16	20280.0	20280.0	20280.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:20280.0;P6-D:sub-25:20280.0	True
P6-H2-OR	validation	sub-25	17	17	20610.0	20610.0	20610.0	0.0	1	P6-D	1	P6-D:sub-25:20610.0	True
P6-H2-OR	validation	sub-25	17	18	21210.0	21210.0	21210.0	0.0	1	P6-D	1	P6-D:sub-25:21210.0	True
P6-H2-OR	validation	sub-25	17	19	23220.0	23220.0	23220.0	0.0	1	H2-D	1	H2-D:sub-25:23220.0	True
P6-H2-OR	validation	sub-25	17	20	26130.0	26130.0	26130.0	0.0	1	H2-D	1	H2-D:sub-25:26130.0	True
P6-H2-OR	validation	sub-25	17	21	27420.0	27420.0	27420.0	0.0	2	P6-D;H2-D	2	H2-D:sub-25:27420.0;P6-D:sub-25:27420.0	True
