method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
H2-D	frozen_direct_control	validation	primary	15.0	97	3	6	25	4	21	2	0	23.066666666666666	0.16	0.6666666666666666	0.25806451612903225	0.9104046242774566
H2-D	frozen_direct_control	validation	primary	15.0	106	1	1	12	0	10	1	2	7.2	0.0	0.0	0.0	1.3888888888888888
H2-D	frozen_direct_control	validation	primary	45.0	2	1	2	13	1	12	1	0	8.858333333333333	0.07692307692307693	0.5	0.13333333333333333	1.354656632173095
H2-D	frozen_direct_control	validation	primary	45.0	3	1	4	6	2	4	2	0	8.316666666666666	0.3333333333333333	0.5	0.4	0.4809619238476954
H2-D	frozen_direct_control	validation	primary	45.0	4	1	1	15	0	15	1	0	8.258333333333333	0.0	0.0	0.0	1.8163471241170537
H2-D	frozen_direct_control	validation	primary	45.0	5	1	0	43	0	40	0	3	7.733333333333333	0.0		0.0	5.172413793103448
H2-D	frozen_direct_control	validation	primary	45.0	15	2	5	9	2	7	3	0	16.616666666666667	0.2222222222222222	0.4	0.2857142857142857	0.42126379137412234
H2-D	frozen_direct_control	validation	primary	45.0	17	1	3	14	1	13	2	0	8.966666666666667	0.07142857142857142	0.3333333333333333	0.11764705882352941	1.449814126394052
H2-D	frozen_direct_control	validation	primary	45.0	37	1	0	7	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
H2-D	frozen_direct_control	validation	primary	45.0	40	1	0	34	0	32	0	2	7.133333333333334	0.0		0.0	4.485981308411215
H2-D	frozen_direct_control	validation	primary	45.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
H2-D	frozen_direct_control	validation	primary	45.0	48	1	0	10	0	8	0	2	7.341666666666667	0.0		0.0	1.0896708286038592
H2-D	frozen_direct_control	validation	primary	45.0	55	1	0	10	0	10	0	0	7.416666666666667	0.0		0.0	1.348314606741573
H2-D	frozen_direct_control	validation	primary	45.0	64	1	5	18	4	14	1	0	8.983333333333333	0.2222222222222222	0.8	0.34782608695652173	1.5584415584415585
H2-D	frozen_direct_control	validation	primary	45.0	73	1	3	12	3	9	0	0	7.866666666666666	0.25	1.0	0.4	1.1440677966101696
H2-D	frozen_direct_control	validation	primary	45.0	89	2	7	27	2	25	5	0	15.05	0.07407407407407407	0.2857142857142857	0.11764705882352941	1.6611295681063123
H2-D	frozen_direct_control	validation	primary	45.0	97	3	6	25	4	21	2	0	23.066666666666666	0.16	0.6666666666666666	0.25806451612903225	0.9104046242774566
H2-D	frozen_direct_control	validation	primary	45.0	106	1	1	12	1	7	0	4	7.2	0.125	1.0	0.2222222222222222	0.9722222222222222
