method	method_role	partition	membership	tolerance_sec	subject	pid	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
H2-D	frozen_direct_control	validation	primary	15.0	sub-25	17	3	14	0	0	14	3	0	8.966666666666667	0.0	0.0	0.0	1.5613382899628252
H2-D	frozen_direct_control	validation	primary	15.0	sub-4	2	2	13	0	1	12	1	0	8.858333333333333	0.07692307692307693	0.5	0.13333333333333333	1.354656632173095
H2-D	frozen_direct_control	validation	primary	15.0	sub-5	3	4	6	0	2	4	2	0	8.316666666666666	0.3333333333333333	0.5	0.4	0.4809619238476954
H2-D	frozen_direct_control	validation	primary	15.0	sub-6	4	1	15	0	0	15	1	0	8.258333333333333	0.0	0.0	0.0	1.8163471241170537
H2-D	frozen_direct_control	validation	primary	15.0	sub-7	5	0	43	3	0	41	0	2	7.733333333333333	0.0		0.0	5.301724137931035
H2-D	frozen_direct_control	validation	primary	15.0	sub-72	37	0	7	2	0	6	0	1	7.991666666666666	0.0		0.0	0.7507820646506779
H2-D	frozen_direct_control	validation	primary	15.0	sub-75	40	0	34	2	0	33	0	1	7.133333333333334	0.0		0.0	4.626168224299065
H2-D	frozen_direct_control	validation	primary	15.0	sub-79	44	0	1	0	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
H2-D	frozen_direct_control	validation	primary	15.0	sub-82	48	0	10	2	0	8	0	2	7.341666666666667	0.0		0.0	1.0896708286038592
H2-D	frozen_direct_control	validation	primary	15.0	sub-88	55	0	10	0	0	10	0	0	7.416666666666667	0.0		0.0	1.348314606741573
H2-D	frozen_direct_control	validation	primary	15.0	sub-97	64	5	18	0	4	14	1	0	8.983333333333333	0.2222222222222222	0.8	0.34782608695652173	1.5584415584415585
H2-D	frozen_direct_control	validation	primary	45.0	sub-1	89	0	9	5	0	9	0	0	7.5	0.0		0.0	1.2
