transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
86	sub-17	92	Wake_to_REM	29130.0	HB_1_vs_PSG_F3	available	-4	-4.0	0.7457880957950701	0.7457880957950701	True
87	sub-17	92	REM_to_Wake	29160.0	HB_1_vs_PSG_F3	available	-4	-4.0	0.756030279335913	0.756030279335913	True
88	sub-18	12	REM_to_Wake	6660.0	HB_1_vs_PSG_F3	available	0	0.0	0.939167165220001	0.939167165220001	True
89	sub-18	12	REM_to_Wake	10950.0	HB_1_vs_PSG_F3	available	0	0.0	0.4231100074051966	0.4231100074051966	True
90	sub-18	12	Wake_to_REM	10980.0	HB_1_vs_PSG_F3	available	0	0.0	0.4408938223178598	0.4408938223178598	True
91	sub-18	12	REM_to_Wake	12240.0	HB_1_vs_PSG_F3	available	0	0.0	0.7158488771225512	0.7158488771225512	True
92	sub-18	12	REM_to_Wake	17340.0	HB_1_vs_PSG_F3	available	0	0.0	0.8831846209664701	0.8831846209664701	True
93	sub-18	12	REM_to_Wake	22020.0	HB_1_vs_PSG_F3	available	0	0.0	0.8498000202879775	0.8498000202879775	True
94	sub-18	12	REM_to_Wake	22890.0	HB_1_vs_PSG_F3	available	0	0.0	0.8935831567007095	0.8935831567007095	True
95	sub-18	12	REM_to_Wake	23310.0	HB_1_vs_PSG_F3	available	0	0.0	0.9486017991059311	0.9486017991059311	True
96	sub-18	12	REM_to_Wake	26700.0	HB_1_vs_PSG_F3	available	0	0.0	0.42956198236747867	0.42956198236747867	True
97	sub-18	12	Wake_to_REM	26730.0	HB_1_vs_PSG_F3	available	0	0.0	0.42180869960698586	0.42180869960698586	True
98	sub-18	12	REM_to_Wake	28260.0	HB_1_vs_PSG_F3	available	0	0.0	0.5303151193768908	0.5303151193768908	True
99	sub-19	93	REM_to_Wake	22590.0	HB_1_vs_PSG_F3	available	0	0.0	0.7069261927624899	0.7069261927624899	True
100	sub-19	93	REM_to_Wake	29880.0	HB_1_vs_PSG_F3	available	-3	-3.0	0.48433775989528427	0.48433775989528427	True
101	sub-20	13	REM_to_Wake	12480.0	HB_1_vs_PSG_F3	available	1	1.0	0.8233928433185587	0.8233928433185587	True
102	sub-20	13	REM_to_Wake	29250.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8685033196320912	0.8685033196320912	True
103	sub-21	93	REM_to_Wake	15120.0	HB_1_vs_PSG_F3	available	3	3.0	0.46110966405319337	0.46110966405319337	True
104	sub-22	14	REM_to_Wake	26520.0	HB_1_vs_PSG_F3	available	0	0.0	0.7645340750269892	0.7645340750269892	True
105	sub-22	14	Wake_to_REM	26550.0	HB_1_vs_PSG_F3	available	0	0.0	0.7734695963077255	0.7734695963077255	True
106	sub-22	14	REM_to_Wake	26970.0	HB_1_vs_PSG_F3	available	0	0.0	0.602194973194464	0.602194973194464	True
107	sub-23	15	REM_to_Wake	22860.0	HB_1_vs_PSG_F3	available	20	20.0	0.6420761988100885	0.6420761988100885	True
108	sub-23	15	REM_to_Wake	31170.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
109	sub-24	16	REM_to_Wake	8220.0	HB_1_vs_PSG_F3	available	0	0.0	0.7275826589348829	0.7275826589348829	True
110	sub-24	16	REM_to_Wake	17370.0	HB_1_vs_PSG_F3	available	0	0.0	0.8778552235106226	0.8778552235106226	True
111	sub-25	17	REM_to_Wake	14970.0	HB_1_vs_PSG_F3	available	1	1.0	0.7717791405944668	0.7717791405944668	True
112	sub-25	17	REM_to_Wake	28230.0	HB_1_vs_PSG_F3	available	1	1.0	0.8635591638164836	0.8635591638164836	True
113	sub-25	17	Wake_to_REM	28260.0	HB_1_vs_PSG_F3	available	1	1.0	0.8574436871244944	0.8574436871244944	True
114	sub-25	17	REM_to_Wake	29190.0	HB_1_vs_PSG_F3	available	0	0.0	0.5627657767645189	0.5627657767645189	True
115	sub-26	18	REM_to_Wake	7590.0	HB_1_vs_PSG_F3	available	0	0.0	0.5386104575492788	0.5386104575492788	True
