transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
116	sub-26	18	REM_to_Wake	28890.0	7365120	7426560	7365120	7426560	0	0	pass
117	sub-27	19	REM_to_Wake	10470.0	2649600	2711040	2649600	2711040	0	0	pass
118	sub-27	19	REM_to_Wake	16020.0	4070400	4131840	4070400	4131840	0	0	pass
119	sub-27	19	REM_to_Wake	21510.0	5475840	5537280	5475840	5537280	0	0	pass
120	sub-27	19	REM_to_Wake	28470.0	7257600	7311616	7257600	7311616	0	0	pass
121	sub-28	20	REM_to_Wake	19470.0	4953600	5015040	4953600	5015040	0	0	pass
122	sub-29	21	REM_to_Wake	25260.0	6435840	6497280	6435840	6497280	0	0	pass
123	sub-29	21	REM_to_Wake	30060.0	7664640	7726080	7664640	7726080	0	0	pass
124	sub-29	21	REM_to_Wake	33120.0	8448000	8509440	8448000	8509440	0	0	pass
125	sub-30	94	REM_to_Wake	14130.0	3586560	3648000	3586560	3648000	0	0	pass
126	sub-30	94	REM_to_Wake	19560.0	4976640	5038080	4976640	5038080	0	0	pass
127	sub-30	94	REM_to_Wake	24660.0	6282240	6343680	6282240	6343680	0	0	pass
128	sub-32	83	REM_to_Wake	9060.0	2288640	2350080	2288640	2350080	0	0	pass
129	sub-32	83	Wake_to_REM	9090.0	2296320	2357760	2296320	2357760	0	0	pass
130	sub-32	83	REM_to_Wake	9780.0	2472960	2534400	2472960	2534400	0	0	pass
131	sub-32	83	Wake_to_REM	9810.0	2480640	2542080	2480640	2542080	0	0	pass
132	sub-32	83	REM_to_Wake	20610.0	5245440	5306880	5245440	5306880	0	0	pass
133	sub-33	84	REM_to_Wake	6360.0	1597440	1658880	1597440	1658880	0	0	pass
134	sub-33	84	REM_to_Wake	10860.0	2749440	2810880	2749440	2810880	0	0	pass
135	sub-33	84	REM_to_Wake	17040.0	4331520	4392960	4331520	4392960	0	0	pass
136	sub-33	84	REM_to_Wake	18420.0	4684800	4746240	4684800	4746240	0	0	pass
137	sub-33	84	REM_to_Wake	22050.0	5614080	5675520	5614080	5675520	0	0	pass
138	sub-33	84	REM_to_Wake	22500.0	5729280	5790720	5729280	5790720	0	0	pass
139	sub-33	84	REM_to_Wake	22950.0	5844480	5905920	5844480	5905920	0	0	pass
140	sub-33	84	REM_to_Wake	24030.0	6120960	6182400	6120960	6182400	0	0	pass
141	sub-36	84	REM_to_Wake	3450.0	852480	913920	852480	913920	0	0	pass
142	sub-36	84	REM_to_Wake	10410.0	2634240	2695680	2634240	2695680	0	0	pass
143	sub-36	84	REM_to_Wake	15270.0	3878400	3939840	3878400	3939840	0	0	pass
144	sub-36	84	Wake_to_REM	15300.0	3886080	3947520	3886080	3947520	0	0	pass
145	sub-36	84	REM_to_Wake	15360.0	3901440	3962880	3901440	3962880	0	0	pass
146	sub-36	84	REM_to_Wake	16200.0	4116480	4177920	4116480	4177920	0	0	pass
147	sub-36	84	REM_to_Wake	22200.0	5652480	5713920	5652480	5713920	0	0	pass
148	sub-36	84	REM_to_Wake	26760.0	6819840	6873600	6819840	6873600	0	0	pass
149	sub-37	86	REM_to_Wake	11160.0	2826240	2887680	2826240	2887680	0	0	pass
150	sub-37	86	REM_to_Wake	15450.0	3924480	3985920	3924480	3985920	0	0	pass
151	sub-37	86	REM_to_Wake	19590.0	4984320	5045760	4984320	5045760	0	0	pass
152	sub-37	86	REM_to_Wake	23850.0	6074880	6136320	6074880	6136320	0	0	pass
153	sub-38	87	REM_to_Wake	21810.0	5552640	5614080	5552640	5614080	0	0	pass
154	sub-39	85	REM_to_Wake	26430.0	6735360	6796800	6735360	6796800	0	0	pass
155	sub-40	86	REM_to_Wake	16050.0	4078080	4139520	4078080	4139520	0	0	pass
156	sub-40	86	REM_to_Wake	22680.0	5775360	5836800	5775360	5836800	0	0	pass
157	sub-41	83	REM_to_Wake	13770.0	3494400	3555840	3494400	3555840	0	0	pass
158	sub-41	83	REM_to_Wake	15300.0	3886080	3947520	3886080	3947520	0	0	pass
159	sub-41	83	REM_to_Wake	20820.0	5299200	5360640	5299200	5360640	0	0	pass
160	sub-41	83	REM_to_Wake	21570.0	5491200	5552640	5491200	5552640	0	0	pass
161	sub-41	83	Wake_to_REM	21600.0	5498880	5560320	5498880	5560320	0	0	pass
162	sub-41	83	REM_to_Wake	23730.0	6044160	6105600	6044160	6105600	0	0	pass
163	sub-42	84	REM_to_Wake	3960.0	983040	1044480	983040	1044480	0	0	pass
164	sub-42	84	REM_to_Wake	4230.0	1052160	1113600	1052160	1113600	0	0	pass
165	sub-42	84	REM_to_Wake	10260.0	2595840	2657280	2595840	2657280	0	0	pass
166	sub-42	84	Wake_to_REM	10290.0	2603520	2664960	2603520	2664960	0	0	pass
167	sub-42	84	REM_to_Wake	11610.0	2941440	3002880	2941440	3002880	0	0	pass
168	sub-42	84	REM_to_Wake	23100.0	5882880	5944320	5882880	5944320	0	0	pass
169	sub-42	84	Wake_to_REM	23190.0	5905920	5967360	5905920	5967360	0	0	pass
170	sub-42	84	REM_to_Wake	23460.0	5975040	6036480	5975040	6036480	0	0	pass
171	sub-43	87	REM_to_Wake	25140.0	6405120	6452480	6405120	6452480	0	0	pass
172	sub-44	23	REM_to_Wake	24060.0	6128640	6190080	6128640	6190080	0	0	pass
173	sub-44	23	REM_to_Wake	25470.0	6489600	6534400	6489600	6534400	0	0	pass
174	sub-45	24	REM_to_Wake	24450.0	6228480	6289920	6228480	6289920	0	0	pass
175	sub-46	26	REM_to_Wake	9480.0	2396160	2457600	2396160	2457600	0	0	pass
176	sub-46	26	Wake_to_REM	9510.0	2403840	2465280	2403840	2465280	0	0	pass
177	sub-46	26	REM_to_Wake	20370.0	5184000	5245440	5184000	5245440	0	0	pass
178	sub-46	26	REM_to_Wake	26580.0	6773760	6835200	6773760	6835200	0	0	pass
179	sub-46	26	Wake_to_REM	26610.0	6781440	6842880	6781440	6842880	0	0	pass
180	sub-46	26	REM_to_Wake	27780.0	7080960	7142400	7080960	7142400	0	0	pass
181	sub-48	28	REM_to_Wake	27450.0	6996480	7057920	6996480	7057920	0	0	pass
182	sub-49	29	REM_to_Wake	19590.0	4984320	5045760	4984320	5045760	0	0	pass
183	sub-49	29	REM_to_Wake	24720.0	6297600	6359040	6297600	6359040	0	0	pass
184	sub-50	88	Wake_to_REM	15450.0	3924480	3985920	3924480	3985920	0	0	pass
185	sub-50	88	REM_to_Wake	23490.0	5982720	6044160	5982720	6044160	0	0	pass
186	sub-51	30	REM_to_Wake	10200.0	2580480	2641920	2580480	2641920	0	0	pass
187	sub-51	30	REM_to_Wake	18480.0	4700160	4761600	4700160	4761600	0	0	pass
188	sub-51	30	Wake_to_REM	18510.0	4707840	4769280	4707840	4769280	0	0	pass
189	sub-51	30	REM_to_Wake	23550.0	5998080	6059520	5998080	6059520	0	0	pass
190	sub-51	30	Wake_to_REM	23580.0	6005760	6067200	6005760	6067200	0	0	pass
191	sub-51	30	REM_to_Wake	23820.0	6067200	6128640	6067200	6128640	0	0	pass
192	sub-51	30	REM_to_Wake	26310.0	6704640	6766080	6704640	6766080	0	0	pass
193	sub-52	31	REM_to_Wake	5070.0	1267200	1328640	1267200	1328640	0	0	pass
194	sub-52	31	REM_to_Wake	17670.0	4492800	4554240	4492800	4554240	0	0	pass
195	sub-52	31	REM_to_Wake	23550.0	5998080	6059520	5998080	6059520	0	0	pass
196	sub-52	31	REM_to_Wake	27660.0	7050240	7094272	7050240	7094272	0	0	pass
