subject	pid	window_id	window_center_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
sub-45	24	1	2464.2000000000003	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.2972217704982515	0.2972217704982515	True
sub-45	24	2	7392.599999999999	HB_PULSE_vs_PSG_PULSE	available	13	0.40625	0.5458091188663028	0.5458091188663028	True
sub-45	24	3	12321.0	HB_PULSE_vs_PSG_PULSE	available	13	0.40625	0.6561779902977173	0.6561779902977173	True
sub-45	24	4	17249.399999999998	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.12769899437144167	0.12769899437144167	False
sub-45	24	5	22177.8	HB_PULSE_vs_PSG_PULSE	available	13	0.40625	0.6486578772611314	0.6486578772611314	True
sub-46	26	1	2904.3	HB_PULSE_vs_PSG_PULSE	available	7	0.21875	0.43005949253872544	0.43005949253872544	True
sub-46	26	2	8712.9	HB_PULSE_vs_PSG_PULSE	available	-2	-0.0625	-0.04554414085061531	0.04554414085061531	False
sub-46	26	3	14521.5	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.13510470924272303	0.13510470924272303	False
sub-46	26	4	20330.1	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.0741071000098588	0.0741071000098588	False
sub-46	26	5	26138.7	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.3269609326663933	0.3269609326663933	True
sub-47	87	1	2436.2000000000003	HB_PULSE_vs_PSG_PULSE	available	12	0.375	0.6541656462291242	0.6541656462291242	True
sub-47	87	2	7308.599999999999	HB_PULSE_vs_PSG_PULSE	available	-3	-0.09375	-0.7933143155624927	0.7933143155624927	True
sub-47	87	3	12181.0	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.8619483519391186	0.8619483519391186	True
sub-47	87	4	17053.399999999998	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.7802695024736351	0.7802695024736351	True
sub-47	87	5	21925.8	HB_PULSE_vs_PSG_PULSE	available	1	0.03125	-0.917522162025803	0.917522162025803	True
sub-48	28	1	3146.7000000000003	HB_PULSE_vs_PSG_PULSE	available	8	0.25	0.33073226311728426	0.33073226311728426	True
sub-48	28	2	9440.1	HB_PULSE_vs_PSG_PULSE	available	248	7.75	-0.045971440808757084	0.045971440808757084	False
sub-48	28	3	15733.5	HB_PULSE_vs_PSG_PULSE	available	166	5.1875	0.17622299205519407	0.17622299205519407	False
sub-48	28	4	22026.899999999998	HB_PULSE_vs_PSG_PULSE	available	295	9.21875	0.12627745637092458	0.12627745637092458	False
sub-48	28	5	28320.3	HB_PULSE_vs_PSG_PULSE	available	-108	-3.375	-0.07391954994362585	0.07391954994362585	False
