subject	pid	comparator	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-6	4	H2-BOTH-0DB	HB_2	0.0	1.928654933106574e-15	1.928654933106574e-15	106.60902623794948	3832320	True
sub-6	4	H2-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	22.1590443129713	3832320	True
sub-6	4	H2-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	33.71273420445722	3832320	True
sub-7	5	H2-BOTH-20DB	HB_1	20.0	20.0	0.0	9.555670085830311	3590400	True
sub-7	5	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	45.61227955208609	3590400	True
sub-7	5	H2-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	30.21768204036045	3590400	True
sub-7	5	H2-BOTH-10DB	HB_2	10.0	10.000000000000007	7.105427357601002e-15	144.23869265691678	3590400	True
sub-7	5	H2-BOTH-0DB	HB_1	0.0	0.0	0.0	95.5567008583031	3590400	True
sub-7	5	H2-BOTH-0DB	HB_2	0.0	1.928654933106574e-15	1.928654933106574e-15	456.12279552086085	3590400	True
sub-7	5	H2-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	30.21768204036045	3590400	True
sub-7	5	H2-HB2-10DB	HB_2	10.0	10.000000000000007	7.105427357601002e-15	144.23869265691678	3590400	True
sub-72	37	H2-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	6.345374696455692	3709440	True
sub-72	37	H2-BOTH-20DB	HB_2	20.0	20.0	0.0	24.12558824430444	3709440	True
sub-72	37	H2-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	20.065836647999546	3709440	True
sub-72	37	H2-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	76.2918087433848	3709440	True
sub-72	37	H2-BOTH-0DB	HB_1	0.0	-4.821637332766436e-15	4.821637332766436e-15	63.45374696455692	3709440	True
sub-72	37	H2-BOTH-0DB	HB_2	0.0	-3.857309866213149e-15	3.857309866213149e-15	241.2558824430444	3709440	True
sub-72	37	H2-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	20.065836647999546	3709440	True
sub-72	37	H2-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	76.2918087433848	3709440	True
sub-75	40	H2-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	56.531134200077965	3313920	True
