model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
H2-NA	train_oof	primary	15.0	0.46	82	64	180	4242	131	4079	49	32	629.4916666666667	0.03111638954869359	0.7277777777777777	0.05968109339407745	6.4798316101616384	0.0	0.0
H2-NA	train_oof	primary	15.0	0.47	82	64	180	4167	130	4005	50	32	629.4916666666667	0.03143893591293833	0.7222222222222222	0.06025492468134415	6.362276439984644	0.0	0.0
H2-NA	train_oof	primary	15.0	0.48	82	64	180	4101	128	3941	52	32	629.4916666666667	0.03145736053084296	0.7111111111111111	0.0602494704636385	6.260607103615351	0.0	0.0
H2-NA	train_oof	primary	15.0	0.49	82	64	180	4043	128	3883	52	32	629.4916666666667	0.03191224133632511	0.7111111111111111	0.06108327368169888	6.168469267530679	0.0	0.0
H2-NA	train_oof	primary	15.0	0.5	82	64	180	3978	127	3819	53	32	629.4916666666667	0.03218449062341612	0.7055555555555556	0.06156083373727581	6.066799931161387	0.0	0.0
H2-NA	train_oof	primary	15.0	0.51	82	64	180	3925	127	3766	53	32	629.4916666666667	0.03262265604931929	0.7055555555555556	0.06236189540878959	5.982605011980566	0.0	0.0
H2-NA	train_oof	primary	15.0	0.52	82	64	180	3857	126	3699	54	32	629.4916666666667	0.03294117647058824	0.7	0.06292134831460675	5.876169925468963	0.0	0.0
H2-NA	train_oof	primary	15.0	0.53	82	64	180	3797	126	3639	54	32	629.4916666666667	0.03346613545816733	0.7	0.06387832699619772	5.780854922622751	0.0	0.0
H2-NA	train_oof	primary	15.0	0.54	82	64	180	3739	126	3581	54	32	629.4916666666667	0.03398974912328028	0.7	0.06483148958065346	5.688717086538079	0.0	0.0
H2-NA	train_oof	primary	15.0	0.55	82	64	180	3699	125	3542	55	32	629.4916666666667	0.03408781019907281	0.6944444444444444	0.06498570314530804	5.626762334688042	0.0	0.0
H2-NA	train_oof	primary	15.0	0.56	82	64	180	3645	125	3488	55	32	629.4916666666667	0.0345972875726543	0.6944444444444444	0.0659108884787767	5.540978832126451	0.0	0.0
H2-NA	train_oof	primary	15.0	0.57	82	64	180	3599	124	3443	56	32	629.4916666666667	0.03476310625175217	0.6888888888888889	0.06618628235922071	5.469492579991792	0.0	0.0
H2-NA	train_oof	primary	15.0	0.58	82	64	180	3534	124	3378	56	32	629.4916666666667	0.03540833809251856	0.6888888888888889	0.06735469853340575	5.366234660241729	0.0	0.0
H2-NA	train_oof	primary	15.0	0.59	82	64	180	3488	124	3332	56	32	629.4916666666667	0.03587962962962963	0.6888888888888889	0.06820682068206821	5.2931598247263	0.0	0.0
H2-NA	train_oof	primary	15.0	0.6	82	64	180	3432	124	3276	56	32	629.4916666666667	0.036470588235294116	0.6888888888888889	0.06927374301675977	5.2041991554031695	0.0	0.0
H2-NA	train_oof	primary	15.0	0.61	82	64	180	3381	124	3225	56	32	629.4916666666667	0.0370259779038519	0.6888888888888889	0.07027486540096345	5.123181402983889	0.0	0.0
H2-NA	train_oof	primary	15.0	0.62	82	64	180	3325	124	3169	56	32	629.4916666666667	0.03765563316125114	0.6888888888888889	0.07140800460696804	5.034220733660758	0.0	0.0
H2-NA	train_oof	primary	15.0	0.63	82	64	180	3279	124	3123	56	32	629.4916666666667	0.03818909762858023	0.6888888888888889	0.07236650131310184	4.961145898145329	0.0	0.0
H2-NA	train_oof	primary	15.0	0.64	82	64	180	3231	124	3075	56	32	629.4916666666667	0.03876211316036261	0.6888888888888889	0.07339449541284404	4.884893895868359	0.0	0.0
H2-NA	train_oof	primary	15.0	0.65	82	64	180	3183	124	3027	56	32	629.4916666666667	0.039352586480482385	0.6888888888888889	0.07445211648153707	4.80864189359139	0.0	0.0
H2-NA	train_oof	primary	15.0	0.66	82	64	180	3127	124	2971	56	32	629.4916666666667	0.04006462035541195	0.6888888888888889	0.07572519083969466	4.719681224268259	0.0	0.0
H2-NA	train_oof	primary	15.0	0.67	82	64	180	3081	123	2926	57	32	629.4916666666667	0.04034109544112824	0.6833333333333333	0.07618457726850418	4.6481949721336	0.0	0.0
H2-NA	train_oof	primary	15.0	0.68	82	64	180	3041	122	2887	58	32	629.4916666666667	0.040545031571950815	0.6777777777777778	0.07651301348385074	4.586240220283562	0.0	0.0
H2-NA	train_oof	primary	15.0	0.69	82	64	180	3003	122	2849	58	32	629.4916666666667	0.041063614944463145	0.6777777777777778	0.07743573468740082	4.525874051814294	0.0	0.0
H2-NA	train_oof	primary	15.0	0.7	82	64	180	2955	120	2803	60	32	629.4916666666667	0.041053711939787886	0.6666666666666666	0.07734450531743474	4.452799216298866	0.0	0.0
H2-NA	train_oof	primary	15.0	0.71	82	64	180	2902	118	2752	62	32	629.4916666666667	0.04111498257839721	0.6555555555555556	0.07737704918032787	4.371781463879585	0.0	0.0
