subject	pid	channel	seed	raw_samples	noise_basis_sha256
sub-103	71	HB_2	6641633385289893269	6590208	b158e046aa811822be667c011a8ad5eade52224ff4305fb513890205351a791b
sub-104	72	HB_1	10436329132922023962	6443520	0794ee575f1410d01f4122b696223f5a49bde976fad25b55b60be26862908047
sub-104	72	HB_2	15228858988639163187	6443520	f79f47ee0be03775ec5a319221d0c7fcf81f29859d18aead9613cfe2eda91421
sub-107	75	HB_1	16145646202068760652	7315712	c55a1ad015041a95c11fa5e7f15125e46a0440bb4e050f3f6fa0bbdd5e91d2c6
sub-107	75	HB_2	7132494533043346289	7315712	92f84ce4689a89cd30f0c5595a5ccae634581faef5a4924615149566d1fd3629
sub-108	76	HB_1	738807242644250127	7688448	aa89e082c34501198756b4b0a5ec9e03346f431eaf03513e5f5038e503fc23e6
sub-108	76	HB_2	9928658293133299350	7688448	ba9ebca893210e7f698081344d64eee26d634d6c6d24210946711f905cecedde
sub-109	96	HB_1	18051344591855173168	6479104	a9769adcb48f759da895206f4a7884caf2244e186aafd9280b069dc76c7ff710
sub-109	96	HB_2	11816303795049366504	6479104	d164dc46ccfaea1eaf52005ef97c5f9b1976bef691ef3fbdd3d7a56fb36e3619
sub-110	96	HB_1	8466203684416811760	7323904	67031409a888317a02e0a9072ebc01e1acd1122e38f2fe84f19789efc34c78ad
sub-110	96	HB_2	14718182088375448383	7323904	1f87be050414df26f9ebeec3b1bda3bc48d1c2c6c5f04fbf482a35b8755f5b02
sub-111	96	HB_1	9924055329162497403	7385088	3d4e421ea791b6f545c525aec3656d1a6ec3396b6a76a280eaabd4ee3114051f
sub-111	96	HB_2	5080164472336997490	7385088	b8f0c3a5ea4a7295b9a60db1947d45ae1ccfb5976b741f9d64c44f3d8f04a34d
sub-115	98	HB_1	11199916483966833761	6591488	ebc33b9117d35105aff7587043aeab5528705ee5dff119092ad3dad666883830
sub-115	98	HB_2	9688294819854247140	6591488	d52dd7fa20370f6f42fb31445ebc923ae8f11609b1db69a73ffa24780d073567
sub-116	98	HB_1	16593467678769037427	6708224	86c4f4a508970c2c544957d8f7904b8cf6c06e1fe1c518d13d07a732a684f856
sub-116	98	HB_2	11719247319337057786	6708224	2dd325fc43faea0430797e08185c8674405d22bf4060e5e89b9b89b76193da59
sub-117	98	HB_1	18354380821255764022	6092544	60915fa3a1fc57c15d4da330103d1614a7a116d56a2f7885b1c4b59abd2dde1c
sub-117	98	HB_2	12383693014740955010	6092544	20cfd67ccaa11684640e8483cd81a7406a2742dd51f30f8fc273dfdf09c78370
sub-118	99	HB_1	16644523245730322578	6867200	f9694877ee79820bbc4c710bba6b46bc1099e05af02c25c8fd0c559d468a327c
sub-118	99	HB_2	217988036954740683	6867200	2074e41c1820b294a80c1c542660a6e01fd5249847821071d3bd58a36be8b154
sub-119	99	HB_1	11772560904189618397	6902016	9ae2c3ceff2a2941485e357f998ac245d7065452632630d561d5a93a2dce0224
sub-119	99	HB_2	8807514382853023493	6902016	b42784bc4c8805c2a009cf5c73294264f54427696fb8a2b3eb318f07b50e6362
sub-120	99	HB_1	13687574535688586335	6059776	64ca6c4fdda8599811cba6943fa61d8ddd8a6e6fe5f131a4f7932d746b7bd48f
sub-120	99	HB_2	13256190532919870801	6059776	ce79157a8ea4db58d330a89a2b46873a615eb68f78fbd1b397a54ccff83d2dcb
sub-121	100	HB_1	6629510132720743083	6861056	58aebbb00ae7af93e8766ee36f63d98e7bf8cca47b285d88942b70c22f0b383e
sub-121	100	HB_2	11914993432443324469	6861056	c2560a09c678330e450da8e6719e49579b809caa811dbbc237b74f5a71438ded
sub-122	101	HB_1	1521570906096049851	6728192	769198985ddf709d8b5148ee048a11e4c0d7ce143f5631928df5fe9b38f9eff3
sub-122	101	HB_2	6834745400490585597	6728192	7a3f590e0322e039a48c2c0f975bc9ea286884565cf903dab13e2e1dcce18055
sub-125	104	HB_1	12906781764328267594	7508736	4d88f199ea12f8dbc66f6e47abd4648d7b9968598adc559a533ddee63e99d226
sub-125	104	HB_2	11853941876329306719	7508736	9110fce9e92141955b3cb33f3feb8fd1ec0a7f292c7437d9f36cf45d81756c0b
sub-128	108	HB_1	4417481288537342248	6309888	08eaa5189315c20518d978a0b1ce938498090816930be5d4b119209c53d44cae
sub-128	108	HB_2	6863596083523139581	6309888	238a5f24467bda3823c22879dbd431d12e142ad06836a51eeba291e14f8df16f
