subject	pid	condition	channel	target_snr_db	achieved_snr_db	absolute_snr_error_db	noise_scale	valid_samples	calibration_pass
sub-27	19	TRAIN-HB1-10DB	HB_1	10.0	10.000000000000002	1.7763568394002505e-15	19.597326944588005	3655680	True
sub-27	19	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999996	3.552713678800501e-15	20.151223518575534	3655680	True
sub-28	20	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999993	7.105427357601002e-15	7.158833391982265	3298560	True
sub-28	20	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	7.361144379734692	3298560	True
sub-28	20	TRAIN-BOTH-10DB	HB_1	10.0	10.0	0.0	22.638218908332938	3298560	True
sub-28	20	TRAIN-BOTH-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	23.277982425309034	3298560	True
sub-28	20	TRAIN-HB1-10DB	HB_1	10.0	10.0	0.0	22.638218908332938	3298560	True
sub-28	20	TRAIN-HB2-10DB	HB_2	10.0	10.000000000000002	1.7763568394002505e-15	23.277982425309034	3298560	True
sub-29	21	TRAIN-BOTH-20DB	HB_1	20.0	20.000000000000004	3.552713678800501e-15	8.2682192873899	4254720	True
sub-29	21	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	55.81134797662239	4254720	True
sub-29	21	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	26.146405141886397	4254720	True
sub-29	21	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999991	8.881784197001252e-15	176.49097889035664	4254720	True
sub-29	21	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	26.146405141886397	4254720	True
sub-29	21	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999991	8.881784197001252e-15	176.49097889035664	4254720	True
sub-30	94	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999996	3.552713678800501e-15	7.143238247128107	3202560	True
sub-30	94	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999996	3.552713678800501e-15	10.470955376615354	3202560	True
sub-30	94	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	22.588902730153546	3202560	True
sub-30	94	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	33.11206826809071	3202560	True
sub-30	94	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999998	1.7763568394002505e-15	22.588902730153546	3202560	True
sub-30	94	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	33.11206826809071	3202560	True
sub-31	95	TRAIN-BOTH-20DB	HB_1	20.0	19.999999999999993	7.105427357601002e-15	5.263520179504171	3264000	True
sub-31	95	TRAIN-BOTH-20DB	HB_2	20.0	19.999999999999993	7.105427357601002e-15	5.97896378499482	3264000	True
sub-31	95	TRAIN-BOTH-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	16.644712277491497	3264000	True
sub-31	95	TRAIN-BOTH-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	18.907143608244894	3264000	True
sub-31	95	TRAIN-HB1-10DB	HB_1	10.0	9.999999999999996	3.552713678800501e-15	16.644712277491497	3264000	True
sub-31	95	TRAIN-HB2-10DB	HB_2	10.0	9.999999999999998	1.7763568394002505e-15	18.907143608244894	3264000	True
