dataset	snapshot	subject	acquisition	relative_path	expected_bytes	local_bytes	partial_bytes	bytes_changed_this_run	status
ds005555	1.1.1	sub-61	psg	sub-61/eeg/sub-61_task-Sleep_acq-psg_eeg.edf	160329216	160329216	0	160329216	downloaded
ds005555	1.1.1	sub-62	headband	sub-62/eeg/sub-62_task-Sleep_acq-headband_eeg.edf	135910912	135910912	0	135910912	downloaded
ds005555	1.1.1	sub-62	psg	sub-62/eeg/sub-62_task-Sleep_acq-psg_eeg.edf	166113280	166113280	0	166113280	downloaded
ds005555	1.1.1	sub-63	headband	sub-63/eeg/sub-63_task-Sleep_acq-headband_eeg.edf	122856448	122856448	0	122856448	downloaded
ds005555	1.1.1	sub-63	psg	sub-63/eeg/sub-63_task-Sleep_acq-psg_eeg.edf	150157824	150157824	0	150157824	downloaded
ds005555	1.1.1	sub-64	headband	sub-64/eeg/sub-64_task-Sleep_acq-headband_eeg.edf	122492416	122492416	0	122492416	downloaded
ds005555	1.1.1	sub-64	psg	sub-64/eeg/sub-64_task-Sleep_acq-psg_eeg.edf	149712896	149712896	0	149712896	downloaded
ds005555	1.1.1	sub-65	headband	sub-65/eeg/sub-65_task-Sleep_acq-headband_eeg.edf	124096000	124096000	0	124096000	downloaded
ds005555	1.1.1	sub-65	psg	sub-65/eeg/sub-65_task-Sleep_acq-psg_eeg.edf	151672832	151672832	0	151672832	downloaded
ds005555	1.1.1	sub-66	headband	sub-66/eeg/sub-66_task-Sleep_acq-headband_eeg.edf	149513728	149513728	0	149513728	downloaded
ds005555	1.1.1	sub-66	psg	sub-66/eeg/sub-66_task-Sleep_acq-psg_eeg.edf	182738944	182738944	0	182738944	downloaded
ds005555	1.1.1	sub-67	headband	sub-67/eeg/sub-67_task-Sleep_acq-headband_eeg.edf	127814656	127814656	0	127814656	downloaded
ds005555	1.1.1	sub-67	psg	sub-67/eeg/sub-67_task-Sleep_acq-psg_eeg.edf	156217856	156217856	0	156217856	downloaded
ds005555	1.1.1	sub-68	headband	sub-68/eeg/sub-68_task-Sleep_acq-headband_eeg.edf	120372736	120372736	0	120372736	downloaded
ds005555	1.1.1	sub-68	psg	sub-68/eeg/sub-68_task-Sleep_acq-psg_eeg.edf	147122176	147122176	0	147122176	downloaded
