model	partition	membership	tolerance_sec	threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	15.0	0.98	45	1	0	0	0	0	0	0	6.775				0.0
LR-OOF	train_oof	primary	15.0	0.98	46	1	5	14	2	10	3	2	7.483333333333333	0.16666666666666666	0.4	0.23529411764705882	1.3363028953229399
LR-OOF	train_oof	primary	15.0	0.98	50	1	1	6	0	6	1	0	7.375	0.0	0.0	0.0	0.8135593220338984
LR-OOF	train_oof	primary	15.0	0.98	51	1	1	6	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	primary	15.0	0.98	53	1	0	1	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	primary	15.0	0.98	54	1	1	15	0	14	1	1	7.916666666666667	0.0	0.0	0.0	1.768421052631579
LR-OOF	train_oof	primary	15.0	0.98	58	1	5	3	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	primary	15.0	0.98	59	1	3	7	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	primary	15.0	0.98	60	1	3	2	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	primary	15.0	0.98	61	1	0	19	0	17	0	2	8.316666666666666	0.0		0.0	2.0440881763527057
LR-OOF	train_oof	primary	15.0	0.98	62	1	4	6	0	6	4	0	8.133333333333333	0.0	0.0	0.0	0.7377049180327869
LR-OOF	train_oof	primary	15.0	0.98	63	1	4	21	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	primary	15.0	0.98	65	1	7	19	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	primary	15.0	0.98	66	1	0	4	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LR-OOF	train_oof	primary	15.0	0.98	67	1	4	15	2	12	2	1	8.241666666666667	0.14285714285714285	0.5	0.2222222222222222	1.4560161779575327
LR-OOF	train_oof	primary	15.0	0.98	68	1	5	3	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
LR-OOF	train_oof	primary	15.0	0.98	71	1	0	1	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
LR-OOF	train_oof	primary	15.0	0.98	72	1	1	1	0	0	1	1	6.933333333333334		0.0	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.98	75	1	1	8	1	7	0	0	7.875	0.125	1.0	0.2222222222222222	0.8888888888888888
LR-OOF	train_oof	primary	15.0	0.98	76	1	1	7	1	5	0	1	8.058333333333334	0.16666666666666666	1.0	0.2857142857142857	0.6204756980351602
LR-OOF	train_oof	primary	15.0	0.98	78	2	7	15	3	11	4	1	16.241666666666667	0.21428571428571427	0.42857142857142855	0.2857142857142857	0.6772703950743971
LR-OOF	train_oof	primary	15.0	0.98	79	2	4	123	2	118	2	3	16.35	0.016666666666666666	0.5	0.03225806451612903	7.217125382262997
