model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
LR-OOF	train_oof	primary	15.0	0.74	82	64	180	2473	107	2337	73	29	629.4916666666667	0.04378068739770868	0.5944444444444444	0.08155487804878049	3.712519360859953	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.75	82	64	180	2433	106	2298	74	29	629.4916666666667	0.04409317803660566	0.5888888888888889	0.08204334365325078	3.6505646090099155	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.76	82	64	180	2385	105	2251	75	29	629.4916666666667	0.04456706281833616	0.5833333333333334	0.08280757097791798	3.575901190113716	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.77	82	64	180	2342	103	2210	77	29	629.4916666666667	0.04453091223519239	0.5722222222222222	0.08263136782992378	3.510769271502138	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.78	82	64	180	2308	103	2176	77	29	629.4916666666667	0.0451952610794208	0.5722222222222222	0.08377389182594551	3.456757436555951	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.79	82	64	180	2260	103	2128	77	29	629.4916666666667	0.04616763783056925	0.5722222222222222	0.0854417254251348	3.3805054342789815	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.8	82	64	180	2217	103	2085	77	29	629.4916666666667	0.047074954296160876	0.5722222222222222	0.08699324324324324	3.312196348905863	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.81	82	64	180	2169	100	2040	80	29	629.4916666666667	0.04672897196261682	0.5555555555555556	0.08620689655172414	3.2407100967712044	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.82	82	64	180	2114	99	1986	81	29	629.4916666666667	0.04748201438848921	0.55	0.08741721854304636	3.1549265942096136	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.83	82	64	180	2048	96	1923	84	29	629.4916666666667	0.0475482912332838	0.5333333333333333	0.08731241473396999	3.0548458412210913	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.84	82	64	180	1996	96	1871	84	29	629.4916666666667	0.04880528723945094	0.5333333333333333	0.08942710759198882	2.9722395054210407	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.85	82	64	180	1950	95	1826	85	29	629.4916666666667	0.04945340968245705	0.5277777777777778	0.09043312708234175	2.900753253286382	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.86	82	64	180	1905	93	1783	87	29	629.4916666666667	0.04957356076759062	0.5166666666666667	0.09046692607003891	2.8324441679132635	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.87	82	64	180	1845	92	1724	88	29	629.4916666666667	0.05066079295154185	0.5111111111111111	0.09218436873747494	2.738717748447822	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.88	82	64	180	1788	90	1669	90	29	629.4916666666667	0.051165434906196704	0.5	0.09283135636926251	2.6513456625054608	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.89	82	64	180	1730	88	1613	92	29	629.4916666666667	0.05173427395649618	0.4888888888888889	0.0935672514619883	2.5623849931823295	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.9	82	64	180	1660	85	1546	95	29	629.4916666666667	0.05211526670754139	0.4722222222222222	0.09387078961899503	2.4559499066707264	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.91	82	64	180	1591	83	1479	97	29	629.4916666666667	0.05313700384122919	0.46111111111111114	0.09529276693455797	2.349514820159123	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.92	82	64	180	1529	77	1423	103	29	629.4916666666667	0.051333333333333335	0.42777777777777776	0.09166666666666666	2.260554150835992	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.93	82	64	180	1463	75	1359	105	29	629.4916666666667	0.05230125523012552	0.4166666666666667	0.09293680297397769	2.1588848144666994	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.94	82	64	180	1383	73	1281	107	29	629.4916666666667	0.05391432791728213	0.40555555555555556	0.09517601043024772	2.0349753107666237	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.95	82	64	180	1314	70	1215	110	29	629.4916666666667	0.054474708171206226	0.3888888888888889	0.09556313993174062	1.9301288076357908	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.96	82	64	180	1221	66	1127	114	28	629.4916666666667	0.055322715842414084	0.36666666666666664	0.09613983976693372	1.7903334701280134	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.97	82	64	180	1121	61	1032	119	28	629.4916666666667	0.055809698078682524	0.3388888888888889	0.09583660644147683	1.6394180489548444	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.98	82	64	180	1006	57	924	123	25	629.4916666666667	0.0581039755351682	0.31666666666666665	0.09819121447028424	1.4678510438316632	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.99	82	64	180	858	47	791	133	20	629.4916666666667	0.05608591885441527	0.2611111111111111	0.09233791748526522	1.2565694541892267	0.0	0.0
LC-1	train_oof	primary	15.0	0.01	82	64	180	3658	110	3534	70	14	629.4916666666667	0.030186608122941824	0.6111111111111112	0.05753138075313807	5.614053667641881	0.0	0.0
LC-1	train_oof	primary	15.0	0.02	82	64	180	3273	110	3149	70	14	629.4916666666667	0.033752684872660324	0.6111111111111112	0.0639720849084036	5.0024490660453536	0.0	0.0
LC-1	train_oof	primary	15.0	0.03	82	64	180	2996	110	2873	70	13	629.4916666666667	0.03687562856185048	0.6111111111111112	0.06955422067657287	4.564000052952779	0.0	0.0
LC-1	train_oof	primary	15.0	0.04	82	64	180	2831	109	2710	71	12	629.4916666666667	0.03866619368570415	0.6055555555555555	0.07269089696565521	4.305060961887237	0.0	0.0
LC-1	train_oof	primary	15.0	0.05	82	64	180	2708	108	2588	72	12	629.4916666666667	0.040059347181008904	0.6	0.07510431154381085	4.111253789433273	0.0	0.0
LC-1	train_oof	primary	15.0	0.06	82	64	180	2588	106	2470	74	12	629.4916666666667	0.04114906832298137	0.5888888888888889	0.07692307692307693	3.9238009505023896	0.0	0.0
LC-1	train_oof	primary	15.0	0.07	82	64	180	2525	106	2407	74	12	629.4916666666667	0.04218066056506168	0.5888888888888889	0.07872261418492388	3.823720197513867	0.0	0.0
LC-1	train_oof	primary	15.0	0.08	82	64	180	2454	105	2337	75	12	629.4916666666667	0.042997542997543	0.5833333333333334	0.08009153318077804	3.712519360859953	0.0	0.0
LC-1	train_oof	primary	15.0	0.09	82	64	180	2401	105	2284	75	12	629.4916666666667	0.04395144411887819	0.5833333333333334	0.08174386920980926	3.6283244416791325	0.0	0.0
LC-1	train_oof	primary	15.0	0.1	82	64	180	2347	105	2230	75	12	629.4916666666667	0.044967880085653104	0.5833333333333334	0.08349900596421471	3.5425409391175418	0.0	0.0
LC-1	train_oof	primary	15.0	0.11	82	64	180	2296	105	2179	75	12	629.4916666666667	0.04597197898423818	0.5833333333333334	0.08522727272727272	3.461523186698262	0.0	0.0
LC-1	train_oof	primary	15.0	0.12	82	64	180	2253	105	2136	75	12	629.4916666666667	0.04685408299866131	0.5833333333333334	0.08674101610904585	3.3932141013251433	0.0	0.0
LC-1	train_oof	primary	15.0	0.13	82	64	180	2217	105	2100	75	12	629.4916666666667	0.047619047619047616	0.5833333333333334	0.0880503144654088	3.3360250996174163	0.0	0.0
LC-1	train_oof	primary	15.0	0.14	82	64	180	2181	105	2064	75	12	629.4916666666667	0.048409405255878286	0.5833333333333334	0.08939974457215837	3.278836097909689	0.0	0.0
LC-1	train_oof	primary	15.0	0.15	82	64	180	2142	105	2025	75	12	629.4916666666667	0.04929577464788732	0.5833333333333334	0.09090909090909091	3.2168813460596515	0.0	0.0
LC-1	train_oof	primary	15.0	0.16	82	64	180	2116	105	1999	75	12	629.4916666666667	0.04990494296577947	0.5833333333333334	0.09194395796847636	3.175578178159626	0.0	0.0
LC-1	train_oof	primary	15.0	0.17	82	64	180	2095	106	1977	74	12	629.4916666666667	0.050888142102736435	0.5888888888888889	0.09368095448519664	3.1406293437826815	0.0	0.0
LC-1	train_oof	primary	15.0	0.18	82	64	180	2072	105	1955	75	12	629.4916666666667	0.050970873786407765	0.5833333333333334	0.09375	3.1056805094057376	0.0	0.0
LC-1	train_oof	primary	15.0	0.19	82	64	180	2052	105	1935	75	12	629.4916666666667	0.051470588235294115	0.5833333333333334	0.0945945945945946	3.0739088417903333	0.0	0.0
LC-1	train_oof	primary	15.0	0.2	82	64	180	2023	105	1906	75	12	629.4916666666667	0.052212829438090504	0.5833333333333334	0.09584664536741214	3.027839923747998	0.0	0.0
LC-1	train_oof	primary	15.0	0.21	82	64	180	2000	105	1883	75	12	629.4916666666667	0.0528169014084507	0.5833333333333334	0.09686346863468635	2.991302505990283	0.0	0.0
LC-1	train_oof	primary	15.0	0.22	82	64	180	1982	105	1865	75	12	629.4916666666667	0.0532994923857868	0.5833333333333334	0.09767441860465116	2.9627080051364194	0.0	0.0
LC-1	train_oof	primary	15.0	0.23	82	64	180	1959	105	1842	75	12	629.4916666666667	0.053929121725731895	0.5833333333333334	0.09873060648801128	2.926170587378705	0.0	0.0
LC-1	train_oof	primary	15.0	0.24	82	64	180	1934	104	1818	76	12	629.4916666666667	0.054110301768990635	0.5777777777777777	0.09895337773549001	2.88804458624022	0.0	0.0
LC-1	train_oof	primary	15.0	0.25	82	64	180	1902	102	1788	78	12	629.4916666666667	0.05396825396825397	0.5666666666666667	0.09855072463768116	2.8403870848171144	0.0	0.0
LC-1	train_oof	primary	15.0	0.26	82	64	180	1878	102	1764	78	12	629.4916666666667	0.05466237942122187	0.5666666666666667	0.09970674486803519	2.8022610836786295	0.0	0.0
LC-1	train_oof	primary	15.0	0.27	82	64	180	1856	102	1742	78	12	629.4916666666667	0.055314533622559656	0.5666666666666667	0.1007905138339921	2.767312249301685	0.0	0.0
LC-1	train_oof	primary	15.0	0.28	82	64	180	1836	102	1722	78	12	629.4916666666667	0.05592105263157895	0.5666666666666667	0.10179640718562874	2.7355405816862812	0.0	0.0
LC-1	train_oof	primary	15.0	0.29	82	64	180	1810	102	1696	78	12	629.4916666666667	0.05672969966629588	0.5666666666666667	0.10313447927199192	2.694237413786256	0.0	0.0
LC-1	train_oof	primary	15.0	0.3	82	64	180	1801	102	1687	78	12	629.4916666666667	0.05701509223029626	0.5666666666666667	0.10360589131538853	2.6799401633593245	0.0	0.0
LC-1	train_oof	primary	15.0	0.31	82	64	180	1782	101	1669	79	12	629.4916666666667	0.05706214689265537	0.5611111111111111	0.10358974358974359	2.6513456625054608	0.0	0.0
LC-1	train_oof	primary	15.0	0.32	82	64	180	1763	101	1650	79	12	629.4916666666667	0.05768132495716733	0.5611111111111111	0.1046090108751942	2.6211625782708268	0.0	0.0
LC-1	train_oof	primary	15.0	0.33	82	64	180	1740	101	1627	79	12	629.4916666666667	0.05844907407407408	0.5611111111111111	0.10587002096436059	2.5846251605131125	0.0	0.0
LC-1	train_oof	primary	15.0	0.34	82	64	180	1727	100	1615	80	12	629.4916666666667	0.05830903790087463	0.5555555555555556	0.10554089709762533	2.56556215994387	0.0	0.0
LC-1	train_oof	primary	15.0	0.35	82	64	180	1707	99	1596	81	12	629.4916666666667	0.0584070796460177	0.55	0.1056	2.535379075709236	0.0	0.0
LC-1	train_oof	primary	15.0	0.36	82	64	180	1693	99	1582	81	12	629.4916666666667	0.05889351576442594	0.55	0.10639441160666309	2.5131389083784534	0.0	0.0
LC-1	train_oof	primary	15.0	0.37	82	64	180	1678	97	1569	83	12	629.4916666666667	0.05822328931572629	0.5388888888888889	0.10509209100758396	2.492487324428441	0.0	0.0
LC-1	train_oof	primary	15.0	0.38	82	64	180	1662	97	1553	83	12	629.4916666666667	0.058787878787878785	0.5388888888888889	0.10601092896174863	2.467069990336118	0.0	0.0
LC-1	train_oof	primary	15.0	0.39	82	64	180	1646	96	1538	84	12	629.4916666666667	0.0587515299877601	0.5333333333333333	0.10584343991179714	2.4432412396245646	0.0	0.0
LC-1	train_oof	primary	15.0	0.4	82	64	180	1634	96	1526	84	12	629.4916666666667	0.059186189889025895	0.5333333333333333	0.10654827968923418	2.4241782390553226	0.0	0.0
LC-1	train_oof	primary	15.0	0.41	82	64	180	1618	96	1510	84	12	629.4916666666667	0.05977584059775841	0.5333333333333333	0.10750279955207166	2.3987609049629994	0.0	0.0
LC-1	train_oof	primary	15.0	0.42	82	64	180	1600	95	1493	85	12	629.4916666666667	0.05982367758186398	0.5277777777777778	0.1074660633484163	2.371754987489906	0.0	0.0
LC-1	train_oof	primary	15.0	0.43	82	64	180	1583	95	1476	85	12	629.4916666666667	0.06047103755569701	0.5277777777777778	0.10850942318675043	2.3447490700168125	0.0	0.0
LC-1	train_oof	primary	15.0	0.44	82	64	180	1575	95	1468	85	12	629.4916666666667	0.060780550223928344	0.5277777777777778	0.10900745840504876	2.3320404029706507	0.0	0.0
LC-1	train_oof	primary	15.0	0.45	82	64	180	1561	95	1454	85	12	629.4916666666667	0.06132989025177534	0.5277777777777778	0.10989010989010989	2.309800235639868	0.0	0.0
LC-1	train_oof	primary	15.0	0.46	82	64	180	1541	95	1434	85	12	629.4916666666667	0.06213211249182472	0.5277777777777778	0.11117612638970158	2.2780285680244643	0.0	0.0
LC-1	train_oof	primary	15.0	0.47	82	64	180	1527	95	1420	85	12	629.4916666666667	0.0627062706270627	0.5277777777777778	0.11209439528023599	2.2557884006936813	0.0	0.0
LC-1	train_oof	primary	15.0	0.48	82	64	180	1515	95	1408	85	12	629.4916666666667	0.06320691949434465	0.5277777777777778	0.11289364230540701	2.236725400124439	0.0	0.0
LC-1	train_oof	primary	15.0	0.49	82	64	180	1495	94	1389	86	12	629.4916666666667	0.0633850303438975	0.5222222222222223	0.11304870715574264	2.206542315889805	0.0	0.0
LC-1	train_oof	primary	15.0	0.5	82	64	180	1483	94	1377	86	12	629.4916666666667	0.06390210740992522	0.5222222222222223	0.11387038158691702	2.1874793153205627	0.0	0.0
