transition_id	transition	boundary_onset_sec	source	channel	window_start_sec	window_end_sec	window_seconds	sfreq_hz	expected_samples	actual_samples	finite_fraction	missing_samples	min_value	p01_value	median_value	p99_value	max_value	peak_to_peak	std	mad	outlier_fraction_10mad	low_diff_fraction	quality_flag
2	Wake_to_REM	1650.0	psg	PSG_EOG	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.00013089374482337695	6.838649547569989e-05	0.00020484741168841063	0.0003350109863028915	0.0005346757396353091	0.000665569484458686	4.048670330753478e-05	1.0213067521171887e-05	0.0380859375	0.031364442780644215	pass_basic
2	Wake_to_REM	1650.0	psg	PSG_EMG	1530.0	1770.0	240.0	256.0	61440	61440	1.0	0	-0.0003114793621728847	-1.938506141756313e-05	-4.443427176317998e-06	3.706111238269627e-05	8.68665598535134e-05	0.0003983459220263981	1.188380396931495e-05	4.296940566109712e-06	0.010514322916666667	0.12456257426064878	pass_basic
3	REM_to_Wake	18540.0	headband	HB_1	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-9.489585717555523e-05	-3.401235980773652e-05	-5.951018539713595e-07	4.4174868390935936e-05	0.0001219043259327075	0.00021680018310826272	1.538124299762077e-05	8.606088349736781e-06	0.0014973958333333334	0.019433910057129838	pass_basic
3	REM_to_Wake	18540.0	headband	HB_2	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0002488899061570155	-0.00010734721904325951	5.951018539709613e-07	7.933165484092448e-05	0.00026060883497367794	0.0005094987411306934	3.8210638899267836e-05	2.3254749370565344e-05	0.00048828125	0.011881703803772847	pass_basic
3	REM_to_Wake	18540.0	headband	HB_PULSE	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-12.231059739070737	-4.620622568093397	-0.014305333028165338	5.0097276264591315	14.256694895857162	26.4877546349279	2.2261710258305	1.4991989013504232	0.0	0.0825208743631895	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_F3	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.001137879217669947	-0.001032319465140764	-0.001012756525551232	-0.0009923923734187835	-0.0009112028357366288	0.00022667638193331818	8.165606104981092e-06	4.807275257496168e-06	0.0006673177083333333	0.018717752567587363	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_F4	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0010875809452964066	-0.0009943738414435034	-0.0009543671831845578	-0.0008944141306172275	-0.0006020572541390097	0.0004855236911573969	2.0508157315473864e-05	6.310847638666328e-06	0.013720703125	0.016959911456892202	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_C3	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0002540566109712367	-3.237354085603113e-05	-1.6113527122911423e-06	3.549858854047456e-05	0.0001517112993057145	0.0004057679102769512	1.50568309506125e-05	8.00793469138628e-06	0.0024088541666666668	0.00870782402057325	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_C4	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0010341026381780732	-0.0009690837918516827	-0.0009496331221789887	-0.0009242029180132757	-0.0006072188596017399	0.00042688377857633326	1.3524020605334328e-05	4.673659143968859e-06	0.004345703125	0.018782857793909407	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_O1	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-9.233539330128938e-05	-2.2705424582284275e-05	-9.277485313191425e-07	2.2998397802700847e-05	6.958113984893568e-05	0.00016191653315022504	9.499942319708378e-06	5.859464408331426e-06	0.00037434895833333336	0.02216832956265564	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_O2	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0014003513788326846	-0.0013544376371984435	-0.0013427041254474707	-0.0013302337264850842	-0.0012887413081193256	0.00011161007071335905	5.1181437341430975e-06	3.060916108949376e-06	0.001171875	0.02364947346148212	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_EOG	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0006202967733730069	-2.6747690954146752e-05	0.00020914765064469353	0.0003261499855802241	0.0005147871344625007	0.0011350839078355076	5.693631634155539e-05	9.99805557335776e-06	0.036474609375	0.023551815621999057	pass_basic
3	REM_to_Wake	18540.0	psg	PSG_EMG	18420.0	18660.0	240.0	256.0	61440	61440	1.0	0	-0.0028223575188830396	-0.0007727061264972915	4.736400396734569e-06	0.0006210211947814148	0.0007969359884031433	0.0036192935072861827	0.00026349673824955583	9.580224307621881e-05	0.007926432291666667	0.03619850583505591	pass_basic
4	REM_to_Wake	18840.0	headband	HB_1	18720.0	18960.0	240.0	256.0	61440	61440	1.0	0	-0.00016337834744792877	-6.651407644769989e-05	-2.288853284506454e-07	7.957061112382681e-05	0.00020613412680247172	0.00036951247425040046	2.2752305377059145e-05	8.056763561455709e-06	0.015364583333333333	0.017204056055599864	pass_basic
