subject	role	exists	bytes	relative_path
sub-18	headband_sidecar	True	513	sub-18/eeg/sub-18_task-Sleep_acq-headband_eeg.json
sub-18	headband_events_json	True	837	sub-18/eeg/sub-18_task-Sleep_acq-headband_events.json
sub-18	headband_events_tsv	True	30814	sub-18/eeg/sub-18_task-Sleep_acq-headband_events.tsv
sub-18	psg_channels	True	190	sub-18/eeg/sub-18_task-Sleep_acq-psg_channels.tsv
sub-18	psg_sidecar	True	497	sub-18/eeg/sub-18_task-Sleep_acq-psg_eeg.json
sub-18	psg_events_json	True	1022	sub-18/eeg/sub-18_task-Sleep_acq-psg_events.json
sub-18	psg_events_tsv	True	32899	sub-18/eeg/sub-18_task-Sleep_acq-psg_events.tsv
sub-19	scan_metadata	True	93	sub-19/sub-19_scans.tsv
sub-19	headband_channels	True	70	sub-19/eeg/sub-19_task-Sleep_acq-headband_channels.tsv
sub-19	headband_sidecar	True	513	sub-19/eeg/sub-19_task-Sleep_acq-headband_eeg.json
sub-19	headband_events_json	True	837	sub-19/eeg/sub-19_task-Sleep_acq-headband_events.json
sub-19	headband_events_tsv	True	29814	sub-19/eeg/sub-19_task-Sleep_acq-headband_events.tsv
sub-19	psg_channels	True	252	sub-19/eeg/sub-19_task-Sleep_acq-psg_channels.tsv
sub-19	psg_sidecar	True	498	sub-19/eeg/sub-19_task-Sleep_acq-psg_eeg.json
sub-19	psg_events_json	True	1022	sub-19/eeg/sub-19_task-Sleep_acq-psg_events.json
sub-19	psg_events_tsv	True	31779	sub-19/eeg/sub-19_task-Sleep_acq-psg_events.tsv
sub-20	scan_metadata	True	93	sub-20/sub-20_scans.tsv
sub-20	headband_channels	True	237	sub-20/eeg/sub-20_task-Sleep_acq-headband_channels.tsv
sub-20	headband_sidecar	True	513	sub-20/eeg/sub-20_task-Sleep_acq-headband_eeg.json
sub-20	headband_events_json	True	837	sub-20/eeg/sub-20_task-Sleep_acq-headband_events.json
sub-20	headband_events_tsv	True	30908	sub-20/eeg/sub-20_task-Sleep_acq-headband_events.tsv
sub-20	psg_channels	True	190	sub-20/eeg/sub-20_task-Sleep_acq-psg_channels.tsv
sub-20	psg_sidecar	True	497	sub-20/eeg/sub-20_task-Sleep_acq-psg_eeg.json
sub-20	psg_events_json	True	1022	sub-20/eeg/sub-20_task-Sleep_acq-psg_events.json
sub-20	psg_events_tsv	True	32931	sub-20/eeg/sub-20_task-Sleep_acq-psg_events.tsv
sub-21	scan_metadata	True	93	sub-21/sub-21_scans.tsv
sub-21	headband_channels	True	70	sub-21/eeg/sub-21_task-Sleep_acq-headband_channels.tsv
sub-21	headband_sidecar	True	513	sub-21/eeg/sub-21_task-Sleep_acq-headband_eeg.json
sub-21	headband_events_json	True	837	sub-21/eeg/sub-21_task-Sleep_acq-headband_events.json
sub-21	headband_events_tsv	True	30680	sub-21/eeg/sub-21_task-Sleep_acq-headband_events.tsv
sub-21	psg_channels	True	252	sub-21/eeg/sub-21_task-Sleep_acq-psg_channels.tsv
sub-21	psg_sidecar	True	498	sub-21/eeg/sub-21_task-Sleep_acq-psg_eeg.json
sub-21	psg_events_json	True	1022	sub-21/eeg/sub-21_task-Sleep_acq-psg_events.json
sub-21	psg_events_tsv	True	32771	sub-21/eeg/sub-21_task-Sleep_acq-psg_events.tsv
sub-22	scan_metadata	True	93	sub-22/sub-22_scans.tsv
sub-22	headband_channels	True	237	sub-22/eeg/sub-22_task-Sleep_acq-headband_channels.tsv
sub-22	headband_sidecar	True	513	sub-22/eeg/sub-22_task-Sleep_acq-headband_eeg.json
sub-22	headband_events_json	True	837	sub-22/eeg/sub-22_task-Sleep_acq-headband_events.json
sub-22	headband_events_tsv	True	30411	sub-22/eeg/sub-22_task-Sleep_acq-headband_events.tsv
sub-22	psg_channels	True	190	sub-22/eeg/sub-22_task-Sleep_acq-psg_channels.tsv
sub-22	psg_sidecar	True	497	sub-22/eeg/sub-22_task-Sleep_acq-psg_eeg.json
sub-22	psg_events_json	True	1022	sub-22/eeg/sub-22_task-Sleep_acq-psg_events.json
sub-22	psg_events_tsv	True	32483	sub-22/eeg/sub-22_task-Sleep_acq-psg_events.tsv
sub-23	scan_metadata	True	93	sub-23/sub-23_scans.tsv
sub-23	headband_channels	True	237	sub-23/eeg/sub-23_task-Sleep_acq-headband_channels.tsv
sub-23	headband_sidecar	True	513	sub-23/eeg/sub-23_task-Sleep_acq-headband_eeg.json
sub-23	headband_events_json	True	837	sub-23/eeg/sub-23_task-Sleep_acq-headband_events.json
sub-23	headband_events_tsv	True	33065	sub-23/eeg/sub-23_task-Sleep_acq-headband_events.tsv
sub-23	psg_channels	True	327	sub-23/eeg/sub-23_task-Sleep_acq-psg_channels.tsv
sub-23	psg_sidecar	True	498	sub-23/eeg/sub-23_task-Sleep_acq-psg_eeg.json
sub-23	psg_events_json	True	1022	sub-23/eeg/sub-23_task-Sleep_acq-psg_events.json
sub-23	psg_events_tsv	True	35203	sub-23/eeg/sub-23_task-Sleep_acq-psg_events.tsv
sub-24	scan_metadata	True	93	sub-24/sub-24_scans.tsv
sub-24	headband_channels	True	237	sub-24/eeg/sub-24_task-Sleep_acq-headband_channels.tsv
sub-24	headband_sidecar	True	513	sub-24/eeg/sub-24_task-Sleep_acq-headband_eeg.json
sub-24	headband_events_json	True	837	sub-24/eeg/sub-24_task-Sleep_acq-headband_events.json
sub-24	headband_events_tsv	True	27431	sub-24/eeg/sub-24_task-Sleep_acq-headband_events.tsv
