analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	train	66	1059	0.36657210919935157	0.5641013877088643	0.36963414955752094	1051	0.4664422031604631	0.7083838224820207	0.4803192971924145	-8	0.09987009396111152	0.1442824347731564	0.11068514763489357
v0.1	train	67	996	0.3469845256949652	0.40918858337394093	0.37760910815939275	992	0.4527494710103374	0.5222859058153176	0.5018718505973769	-4	0.10576494531537223	0.11309732244137671	0.12426274243798419
v0.1	train	68	935	0.32737239333845836	0.5301906830154944	0.3362026889115677	931	0.38468908482765446	0.6450021636744918	0.3649603819787176	-4	0.0573166914891961	0.11481148065899738	0.028757693067149925
v0.1	train	71	858	0.34988240033054085	0.4816102639495579	0.1874423227088805	854	0.40224605027751503	0.6076640250793303	0.2091550089983909	-4	0.05236364994697418	0.12605376112977235	0.021712686289510397
v0.1	train	72	839	0.6125035359218327	0.683842970632467	0.5647246976545632	835	0.6731555411866058	0.7756951021721896	0.6401939286904508	-4	0.0606520052647731	0.0918521315397226	0.07546923103588754
v0.1	train	75	952	0.4071438196483543	0.5625650114879001	0.33330920087211013	948	0.4815903588453999	0.649135451054879	0.3785996728247315	-4	0.07444653919704564	0.08657043956697896	0.04529047195262137
v0.1	train	76	995	0.4231624759779139	0.5068514842946245	0.3311855492337077	979	0.5103983767685047	0.6313507100180672	0.3818055196446182	-16	0.08723590079059085	0.12449922572344274	0.050619970410910486
v0.1	train	78	1963	0.3586344745982747	0.5493618746713784	0.2520327766970901	1955	0.4215177377329022	0.6750616514421404	0.28848873542775555	-8	0.0628832631346275	0.12569977677076194	0.03645595873066543
v0.1	train	79	1983	0.36035751105881786	0.4565107843625794	0.24021264526167374	1971	0.41086992180128307	0.5244545642111296	0.26846825356105053	-12	0.05051241074246521	0.06794377984855016	0.02825560829937679
v0.1	train	80	1854	0.5524828363866205	0.6434580398520888	0.6026686374193968	1842	0.6278825111006582	0.7416022826107718	0.6543687394160539	-12	0.07539967471403763	0.09814424275868294	0.05170010199665709
