dataset	snapshot	subject	acquisition	relative_path	official_bytes	local_bytes	official_sha256	local_sha256	size_match	sha256_match	status	official_pointer_url
ds005555	1.1.1	sub-19	psg	sub-19/eeg/sub-19_task-Sleep_acq-psg_eeg.edf	171086336	171086336	27f7d07de7e03793c67598c3b2e4e84e6bc425a945224abb8362407de8bc854a	27f7d07de7e03793c67598c3b2e4e84e6bc425a945224abb8362407de8bc854a	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-19/eeg/sub-19_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-20	headband	sub-20/eeg/sub-20_task-Sleep_acq-headband_eeg.edf	144947200	144947200	5b648f9fc48c6c4d47ad6a0063b7bc5d6f74bdaf7bff9cd4a4b2804792d185fb	5b648f9fc48c6c4d47ad6a0063b7bc5d6f74bdaf7bff9cd4a4b2804792d185fb	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-20/eeg/sub-20_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-20	psg	sub-20/eeg/sub-20_task-Sleep_acq-psg_eeg.edf	128841984	128841984	d0f849c202961e9253a48e779422111d583bb68ef8cc61ecb43793ea692994a4	d0f849c202961e9253a48e779422111d583bb68ef8cc61ecb43793ea692994a4	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-20/eeg/sub-20_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-21	headband	sub-21/eeg/sub-21_task-Sleep_acq-headband_eeg.edf	32050944	32050944	50f0b9dd4165e73eac6bb916d4edb74b8bb60dab19531d9383f9ecad7595edaa	50f0b9dd4165e73eac6bb916d4edb74b8bb60dab19531d9383f9ecad7595edaa	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-21/eeg/sub-21_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-21	psg	sub-21/eeg/sub-21_task-Sleep_acq-psg_eeg.edf	176279040	176279040	479beeb5dc1345d69561bc04704bb14dc63faf575e3d200f343143602c845aab	479beeb5dc1345d69561bc04704bb14dc63faf575e3d200f343143602c845aab	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-21/eeg/sub-21_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-22	headband	sub-22/eeg/sub-22_task-Sleep_acq-headband_eeg.edf	143021056	143021056	31cb9a2003eb4ffbb10f21e03ea28394a628945959277bcc94281420cb3da0f3	31cb9a2003eb4ffbb10f21e03ea28394a628945959277bcc94281420cb3da0f3	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-22/eeg/sub-22_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-22	psg	sub-22/eeg/sub-22_task-Sleep_acq-psg_eeg.edf	127129856	127129856	59f8eae4d37fecf7216457d7ee7b73984d49265998088731275bf52fa29f1ba3	59f8eae4d37fecf7216457d7ee7b73984d49265998088731275bf52fa29f1ba3	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-22/eeg/sub-22_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-23	headband	sub-23/eeg/sub-23_task-Sleep_acq-headband_eeg.edf	154822144	154822144	8480f29e2a95096d38fb0ca3dc33b81efbf73a3bfb0f01e2430ff6d1955025a8	8480f29e2a95096d38fb0ca3dc33b81efbf73a3bfb0f01e2430ff6d1955025a8	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-23/eeg/sub-23_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-23	psg	sub-23/eeg/sub-23_task-Sleep_acq-psg_eeg.edf	240834304	240834304	948481798440ee4003dd6c9495c82460ab31aa33143d98688899ce0df23abd73	948481798440ee4003dd6c9495c82460ab31aa33143d98688899ce0df23abd73	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-23/eeg/sub-23_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-24	headband	sub-24/eeg/sub-24_task-Sleep_acq-headband_eeg.edf	129035776	129035776	e372f6bcc998a4cbbd04eb5f36a493b69a44ff61b4cdfc688b56750338d762bc	e372f6bcc998a4cbbd04eb5f36a493b69a44ff61b4cdfc688b56750338d762bc	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-24/eeg/sub-24_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-24	psg	sub-24/eeg/sub-24_task-Sleep_acq-psg_eeg.edf	200722176	200722176	91cd713a96ad0d19ffdbaacd8158c898f90e31856a33d1a1dfd9a9a12ce4aa89	91cd713a96ad0d19ffdbaacd8158c898f90e31856a33d1a1dfd9a9a12ce4aa89	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-24/eeg/sub-24_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-25	headband	sub-25/eeg/sub-25_task-Sleep_acq-headband_eeg.edf	149790208	149790208	503651b289da5ee6eb86b388326256f4e1f236ceb1765bc5e4b7af57127f7b28	503651b289da5ee6eb86b388326256f4e1f236ceb1765bc5e4b7af57127f7b28	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-25/eeg/sub-25_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-25	psg	sub-25/eeg/sub-25_task-Sleep_acq-psg_eeg.edf	233006848	233006848	f83245248f8aa03533389bb03400073b3252cedbfb2d6589e694c80cd72b98f9	f83245248f8aa03533389bb03400073b3252cedbfb2d6589e694c80cd72b98f9	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-25/eeg/sub-25_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-26	headband	sub-26/eeg/sub-26_task-Sleep_acq-headband_eeg.edf	134477824	134477824	f2ba0a8168ae33debc92c31159d659989d0b681b6086f0801aa087bd6fb47208	f2ba0a8168ae33debc92c31159d659989d0b681b6086f0801aa087bd6fb47208	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-26/eeg/sub-26_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-26	psg	sub-26/eeg/sub-26_task-Sleep_acq-psg_eeg.edf	209187584	209187584	079b63b112223fbaaa4e85a205d133b2bab00a095c332713a7621561acbd1362	079b63b112223fbaaa4e85a205d133b2bab00a095c332713a7621561acbd1362	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-26/eeg/sub-26_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-27	headband	sub-27/eeg/sub-27_task-Sleep_acq-headband_eeg.edf	29247232	29247232	23adcbcad50162d63f8ead94376de65ff15e2115e328c0914e5850cffbdab284	23adcbcad50162d63f8ead94376de65ff15e2115e328c0914e5850cffbdab284	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-27/eeg/sub-27_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-27	psg	sub-27/eeg/sub-27_task-Sleep_acq-psg_eeg.edf	204729088	204729088	faf854407eb9c3363ca7eeb1f01d53de982f7357569ccc00d84481148dc0c816	faf854407eb9c3363ca7eeb1f01d53de982f7357569ccc00d84481148dc0c816	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-27/eeg/sub-27_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-28	headband	sub-28/eeg/sub-28_task-Sleep_acq-headband_eeg.edf	26393344	26393344	aff8de1a7380e78c6c354227239cc69c177dbea841e4d90c294458c01f75d0f7	aff8de1a7380e78c6c354227239cc69c177dbea841e4d90c294458c01f75d0f7	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-28/eeg/sub-28_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-28	psg	sub-28/eeg/sub-28_task-Sleep_acq-psg_eeg.edf	184751872	184751872	31f5369d2ed9c82771072228d7cd185525dd2060323bce76c9549a229c4b9e55	31f5369d2ed9c82771072228d7cd185525dd2060323bce76c9549a229c4b9e55	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-28/eeg/sub-28_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-29	headband	sub-29/eeg/sub-29_task-Sleep_acq-headband_eeg.edf	34042624	34042624	436c3cd7714a7862289c58e5a2367a80e2e85768d921f0d0590ad8c7caf2dd5b	436c3cd7714a7862289c58e5a2367a80e2e85768d921f0d0590ad8c7caf2dd5b	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-29/eeg/sub-29_task-Sleep_acq-headband_eeg.edf
