model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	0.98	sub-84	51	45.0	1	6	0	0	6	1	0	8.416666666666666	0.0	0.0	0.0	0.712871287128713
LR-OOF	train_oof	primary	0.98	sub-86	53	45.0	0	1	0	0	1	0	0	7.808333333333334	0.0		0.0	0.128068303094984
LR-OOF	train_oof	primary	0.98	sub-87	54	45.0	1	15	1	0	14	1	1	7.916666666666667	0.0	0.0	0.0	1.768421052631579
LR-OOF	train_oof	primary	0.98	sub-91	58	45.0	5	3	0	0	3	5	0	8.45	0.0	0.0	0.0	0.3550295857988166
LR-OOF	train_oof	primary	0.98	sub-92	59	45.0	3	7	0	0	7	3	0	8.175	0.0	0.0	0.0	0.856269113149847
LR-OOF	train_oof	primary	0.98	sub-93	60	45.0	3	2	0	0	2	3	0	7.258333333333334	0.0	0.0	0.0	0.2755453501722158
LR-OOF	train_oof	primary	0.98	sub-94	61	45.0	0	19	2	0	17	0	2	8.316666666666666	0.0		0.0	2.0440881763527057
LR-OOF	train_oof	primary	0.98	sub-95	62	45.0	4	6	2	0	5	4	1	8.133333333333333	0.0	0.0	0.0	0.6147540983606558
LR-OOF	train_oof	primary	0.98	sub-96	63	45.0	4	21	0	2	19	2	0	8.033333333333333	0.09523809523809523	0.5	0.16	2.3651452282157677
LR-OOF	train_oof	primary	0.98	sub-98	65	45.0	7	19	0	4	15	3	0	7.45	0.21052631578947367	0.5714285714285714	0.3076923076923077	2.013422818791946
LR-OOF	train_oof	primary	0.98	sub-99	66	45.0	0	4	0	0	4	0	0	8.708333333333334	0.0		0.0	0.4593301435406698
LR-OOF	train_oof	expanded	0.98	sub-10	91	15.0	0	4	0	0	4	0	0	8.216666666666667	0.0		0.0	0.486815415821501
LR-OOF	train_oof	expanded	0.98	sub-100	67	15.0	5	15	0	3	12	2	0	8.241666666666667	0.2	0.6	0.3	1.4560161779575327
LR-OOF	train_oof	expanded	0.98	sub-101	68	15.0	5	3	0	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
